Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
115,2025-11-24 18:56:59,7.550075505680098e-06,1.4412976668461783e-07,1.073318711575233e-05,8.284886091258655e-07,7.318793885380259e-06,1.3936054936235279e-06,4360995645.2631445
116,2025-11-24 18:57:37,6.960092602481538e-06,1.6563407304786465e-07,1.2649055948887877e-05,1.0281640557959928e-06,5.499971640565704e-06,1.1275655270942602e-06,4360996270.3709345
117,2025-11-24 18:58:15,6.943519394342346e-06,1.5112210573391443e-07,1.0202690255756153e-05,1.0425314156200812e-06,6.8805255488690875e-06,1.1095674791096908e-06,4360998489.177568
118,2025-11-24 18:58:52,7.132687042110675e-06,1.695938810742434e-07,1.0895293002910478e-05,7.287981445038172e-07,6.883382897893142e-06,1.3692848191862238e-06,4360995924.213094
119,2025-11-24 18:59:30,7.401597878153865e-06,1.6619839878032368e-07,1.096097988506628e-05,8.678285682206171e-07,5.389379397424676e-06,1.1055053385704042e-06,4360994885.774857
120,2025-11-24 19:00:08,7.314451215600926e-06,7.954896119530974e-08,nan,nan,6.5547514378483385e-06,1.138210066494402e-06,nan
121,2025-11-24 19:00:47,7.045590351584252e-06,1.286640966407299e-07,nan,nan,6.068071882081583e-06,9.72488527893873e-07,nan
122,2025-11-24 19:01:25,7.487249990667522e-06,1.6726135246356743e-07,nan,nan,5.408512225413276e-06,1.1730574223293793e-06,nan
123,2025-11-24 19:02:02,7.25453319616598e-06,1.6906301427440668e-07,9.597338108235931e-06,9.277544818958496e-07,4.699081588288578e-06,1.1897178159818615e-06,4360996095.051629
124,2025-11-24 19:02:40,7.239497827882246e-06,1.7550918077229926e-07,nan,nan,5.818571253701776e-06,1.1404134678884526e-06,nan
125,2025-11-24 19:03:18,7.831819691661579e-06,1.4875366041329815e-07,nan,nan,6.195735111402811e-06,1.2075697389260103e-06,nan
126,2025-11-24 19:03:55,7.213080191137422e-06,1.1560885611496453e-07,1.1167431560599184e-05,7.88709302109751e-07,8.03311988306632e-06,1.7023754928617343e-06,4360998529.134817
127,2025-11-24 19:04:33,7.018504501132838e-06,1.2292609147812645e-07,nan,nan,5.0853150426188876e-06,1.3977456985567094e-06,nan
128,2025-11-24 19:05:11,7.53341168757693e-06,1.0632683124699367e-07,nan,nan,5.16885308998738e-06,1.3403435257863986e-06,nan
129,2025-11-24 19:05:48,6.976707922490277e-06,1.719751073243074e-07,nan,nan,6.754665885955191e-06,8.893806137905328e-07,nan
130,2025-11-24 19:06:26,7.1209050833687115e-06,1.1221810758994828e-07,nan,nan,7.27359546348616e-06,1.4811790644717192e-06,nan
131,2025-11-24 19:07:03,7.056582297826353e-06,1.5206090652663954e-07,nan,nan,5.93272835325287e-06,1.392891488549125e-06,nan
132,2025-11-24 19:07:42,7.229584937595845e-06,1.3888598439895393e-07,nan,nan,5.57960800096069e-06,1.2422090888912333e-06,nan
133,2025-11-24 19:08:20,7.663789975298485e-06,1.1831565627311376e-07,1.1519067623977364e-05,9.019930794631682e-07,6.516934210276659e-06,9.524014563817208e-07,4360992902.02649
134,2025-11-24 19:08:58,7.202087929369938e-06,1.4195921886405172e-07,9.830037052793728e-06,7.61464677547813e-07,6.105526823896312e-06,1.2058574789866999e-06,4360994672.565066
135,2025-11-24 19:09:36,7.180237341142259e-06,2.248119295159998e-07,1.2483657370498946e-05,7.069954970876447e-07,6.763643812135456e-06,1.3007592499213846e-06,4360995837.669191
136,2025-11-24 19:10:14,7.257472800947795e-06,1.3384089979040717e-07,nan,nan,4.65031483032341e-06,9.354372184342235e-07,nan
137,2025-11-24 19:10:51,7.15421934804894e-06,1.1245113280379273e-07,nan,nan,6.134835910609482e-06,1.2276895910002293e-06,nan
138,2025-11-24 19:11:29,7.13703983024061e-06,1.781095615616205e-07,nan,nan,4.495222126754683e-06,1.0247962924292488e-06,nan
139,2025-11-24 19:12:07,6.929049066517479e-06,1.7421780437235336e-07,1.083198987150702e-05,4.862800855225531e-07,5.504727936145315e-06,8.729378453154251e-07,4360996645.883138
140,2025-11-24 19:12:44,7.073970252902129e-06,1.204623674932565e-07,nan,nan,9.748704066225855e-09,nan,nan
141,2025-11-24 19:13:22,6.177346594693489e-06,1.549130137036778e-07,nan,nan,1.0490525228723513e-05,2.9652174027817972e-06,nan
142,2025-11-24 19:14:00,5.710480438736454e-06,1.485241287483437e-07,nan,nan,6.05558375843529e-06,2.180114816562297e-06,nan
143,2025-11-24 19:14:38,5.5637315585777e-06,1.6065025671563958e-07,nan,nan,1.08196331383148e-05,3.4000828719841774e-06,nan
144,2025-11-24 19:15:15,5.624747334342928e-06,1.9350124386860724e-07,nan,nan,7.934966465672488e-06,3.424750288752667e-06,nan
145,2025-11-24 19:15:53,5.157346196327239e-06,1.4654055385904748e-07,nan,nan,1.6231949349299057e-05,4.2679246130869205e-06,nan
